system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
000000000000000008e1_0,0.2123,0.09165,0.1201,0.1263,0.3156,0.195681,0.42837745,-0.44870326,0.30146511998764747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64209576288629,10.881517615360794]}"
000000000000000008e2_0,0.0468,0.0219,0.03735,0.03165,0.2143,0.6415167,0.7426306,-0.70315915,0.36728334174742705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.645958518608,10.87540907142878]}"
000000000000000008e3_0,0.37755,0.27285,0.2844,0.2983,0.3959,0.023724874,0.1405935,-0.16389832,0.12259254598053845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.65215689406843,10.892926219469112]}"
000000000000000008e4_0,0.18465,0.08145,0.1324,0.1498,0.3112,0.2552183,0.35010844,-0.4030658,0.25192506412228644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.63796351257935,10.876487049769723]}"
000000000000000008e5_0,0.3559,0.43755,0.4309,0.4115,0.6107,0.2636044,0.19487381,-0.17261904,0.19629483835412007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6692248844667,10.892836387940699]}"
000000000000000008e6_0,0.2982,0.1747,0.23325,0.2611,0.4073,0.15464208,0.2187313,-0.2717196,0.18769257429881775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.65916375328456,10.882775256758562]}"
000000000000000008e7_0,0.11075,0.06735,0.088,0.0848,0.3312,0.4988121,0.5923077,-0.5801527,0.40349345929716507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.66392482429039,10.868851369854708]}"
000000000000000008e8_0,0.1006,0.03675,0.06095,0.06505,0.2696,0.45651,0.6112356,-0.6312207,0.36760918631010253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6894369783594,10.852142705570085]}"
000000000000000008e9_0,0.10005,0.0261,0.0526,0.0353,0.3568,0.56200063,0.8199439,-0.7430386,0.5405783962358273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.67641140673966,10.852052874041673]}"
000000000000000008ea_0,0.1908,0.16175,0.1631,0.14155,0.4235,0.37880516,0.49898237,-0.4439141,0.39709402664140964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.68512506499562,10.85232236862691]}"
000000000000000008eb_0,0.1099,0.0459,0.0713,0.05295,0.3394,0.5107946,0.73008794,-0.6527879,0.48150949315315766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.68180129844437,10.849447759717727]}"
000000000000000008ec_0,0.1419,0.04215,0.06645,0.05185,0.3676,0.4429833,0.7527715,-0.6938141,0.5151177301543681,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6812623092739,10.851244390285967]}"
000000000000000008ed_0,0.0871,0.03175,0.04775,0.04075,0.20955,0.412776,0.67439073,-0.62883794,0.3374650020442922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.68692169556385,10.846752813865368]}"
000000000000000008ee_0,0.0932,0.0241,0.04625,0.02585,0.3088,0.5363184,0.84551024,-0.73947334,0.5085065740772515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.67371646088729,10.839296797007176]}"
000000000000000008ef_0,0.10385,0.03095,0.0518,0.0364,0.3311,0.5224738,0.80190474,-0.72943324,0.5095677050693429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.67362662935889,10.846123993166485]}"
000000000000000008f0_0,0.108,0.03135,0.04495,0.03365,0.3206,0.49603358,0.81002116,-0.7540692,0.5038630420803776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6767707328533,10.832289937791044]}"
000000000000000008f1_0,0.075,0.0224,0.0388,0.0214,0.3063,0.606609,0.86939275,-0.77513766,0.5163102720915168,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6707520204497,10.82932549735345]}"
000000000000000008f2_0,0.2083,0.0433,0.0686,0.05455,0.3098,0.19590814,0.70056266,-0.6374207,0.44296291993387216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.67479443922824,10.83534420975705]}"
